jid,statecode,year_end,variable,value
635,HI,2015,children_native_parents,212000
636,IA,2015,children_native_parents,638000
637,ID,2015,children_native_parents,369000
638,IL,2015,children_native_parents,2140000
639,IN,2015,children_native_parents,1392000
640,KS,2015,children_native_parents,595000
641,KY,2015,children_native_parents,909000
642,LA,2015,children_native_parents,1016000
643,MA,2015,children_native_parents,977000
644,MD,2015,children_native_parents,955000
645,ME,2015,children_native_parents,234000
646,MI,2015,children_native_parents,1887000
647,MN,2015,children_native_parents,1028000
648,MO,2015,children_native_parents,1256000
649,MS,2015,children_native_parents,682000
650,MT,2015,children_native_parents,212000
651,NC,2015,children_native_parents,1823000
652,ND,2015,children_native_parents,155000
653,NE,2015,children_native_parents,396000
654,NH,2015,children_native_parents,235000
655,NJ,2015,children_native_parents,1236000
656,NM,2015,children_native_parents,378000
657,NV,2015,children_native_parents,402000
658,NY,2015,children_native_parents,2605000
659,OH,2015,children_native_parents,2383000
660,OK,2015,children_native_parents,803000
661,OR,2015,children_native_parents,648000
662,PA,2015,children_native_parents,2323000
663,RI,2015,children_native_parents,153000
664,SC,2015,children_native_parents,952000
665,SD,2015,children_native_parents,190000
666,TN,2015,children_native_parents,1295000
667,TX,2015,children_native_parents,4572000
668,US,2015,children_native_parents,53793000
669,UT,2015,children_native_parents,743000
670,VA,2015,children_native_parents,1419000
671,VT,2015,children_native_parents,110000
672,WA,2015,children_native_parents,1135000
673,WI,2015,children_native_parents,1134000
674,WV,2015,children_native_parents,362000
675,WY,2015,children_native_parents,125000
676,AK,2016,children_native_parents,154000
677,AL,2016,children_native_parents,989000
678,AR,2016,children_native_parents,608000
679,AZ,2016,children_native_parents,1127000
680,CA,2016,children_native_parents,4448000
681,CO,2016,children_native_parents,955000
682,CT,2016,children_native_parents,547000
683,DC,2016,children_native_parents,90000
684,DE,2016,children_native_parents,159000
685,FL,2016,children_native_parents,2653000
686,GA,2016,children_native_parents,1940000
687,HI,2016,children_native_parents,210000
688,IA,2016,children_native_parents,640000
689,ID,2016,children_native_parents,373000
690,IL,2016,children_native_parents,2116000
691,IN,2016,children_native_parents,1375000
692,KS,2016,children_native_parents,591000
693,KY,2016,children_native_parents,902000
694,LA,2016,children_native_parents,1009000
695,MA,2016,children_native_parents,960000
696,MD,2016,children_native_parents,947000
697,ME,2016,children_native_parents,231000
